date,close
24-Apr-07,3.24
25-Apr-07,5.35
26-Apr-07,8.84
27-Apr-07,9.92
30-Apr-07,9.80
1-May-07,.47
2-May-07,0.39
3-May-07,0.40
4-May-07,0.81
7-May-07,3.92
8-May-07,5.06
9-May-07,6.88
10-May-07,07.34
11-May-07,08.74
14-May-07,09.36
15-May-07,07.52
16-May-07,07.34
17-May-07,09.44
18-May-07,10.02
21-May-07,11.98
22-May-07,13.54
23-May-07,12.89
24-May-07,10.69
25-May-07,13.62
29-May-07,14.35
30-May-07,18.77
31-May-07,21.19
1-Jun-07,8.40
4-Jun-07,1.33
5-Jun-07,2.67
6-Jun-07,3.64
7-Jun-07,4.07
8-Jun-07,4.49
11-Jun-07,20.19
12-Jun-07,20.38
13-Jun-07,17.50
14-Jun-07,18.75
15-Jun-07,20.50
18-Jun-07,25.09
19-Jun-07,23.66
20-Jun-07,21.55
21-Jun-07,23.90
22-Jun-07,23.00
25-Jun-07,22.34
26-Jun-07,19.65
27-Jun-07,21.89
28-Jun-07,20.56
29-Jun-07,22.04
2-Jul-07,1.26
3-Jul-07,7.17
5-Jul-07,2.75
6-Jul-07,2.30
9-Jul-07,0.33
10-Jul-07,32.35
11-Jul-07,32.39
12-Jul-07,34.07
13-Jul-07,37.73
16-Jul-07,38.10
17-Jul-07,38.91
18-Jul-07,38.12
19-Jul-07,40.00
20-Jul-07,43.75
23-Jul-07,43.70
24-Jul-07,34.89
25-Jul-07,37.26
26-Jul-07,46.00
27-Jul-07,43.85
30-Jul-07,41.43
31-Jul-07,31.76
1-Aug-07,5.00
2-Aug-07,6.49
3-Aug-07,1.85
6-Aug-07,5.25
7-Aug-07,5.03
8-Aug-07,4.01
9-Aug-07,6.39
10-Aug-07,25.00
13-Aug-07,27.79
14-Aug-07,24.03
15-Aug-07,19.90
16-Aug-07,17.05
17-Aug-07,22.06
20-Aug-07,22.22
21-Aug-07,27.57
22-Aug-07,32.51
23-Aug-07,31.07
24-Aug-07,35.30
27-Aug-07,32.25
28-Aug-07,26.82
29-Aug-07,34.08
30-Aug-07,36.25
31-Aug-07,38.48
4-Sep-07,4.16
5-Sep-07,6.76
6-Sep-07,5.01
7-Sep-07,1.77
10-Sep-07,36.71
11-Sep-07,35.49
12-Sep-07,36.85
13-Sep-07,37.20
14-Sep-07,38.81
17-Sep-07,38.41
18-Sep-07,40.92
19-Sep-07,40.77
20-Sep-07,40.31
21-Sep-07,44.15
24-Sep-07,48.28
25-Sep-07,53.18
26-Sep-07,52.77
27-Sep-07,54.50
28-Sep-07,53.47
1-Oct-07,6.34
2-Oct-07,8.45
3-Oct-07,7.92
4-Oct-07,6.24
5-Oct-07,1.45
8-Oct-07,7.91
9-Oct-07,7.86
10-Oct-07,66.79
11-Oct-07,62.23
12-Oct-07,67.25
15-Oct-07,66.98
16-Oct-07,69.58
17-Oct-07,72.75
18-Oct-07,73.50
19-Oct-07,70.42
22-Oct-07,74.36
23-Oct-07,86.16
24-Oct-07,85.93
25-Oct-07,82.78
26-Oct-07,84.70
29-Oct-07,85.09
30-Oct-07,87.00
31-Oct-07,89.95
1-Nov-07,7.44
2-Nov-07,7.87
5-Nov-07,6.18
6-Nov-07,1.79
7-Nov-07,6.30
8-Nov-07,5.47
9-Nov-07,5.37
12-Nov-07,53.76
13-Nov-07,69.96
14-Nov-07,66.11
15-Nov-07,64.30
16-Nov-07,66.39
19-Nov-07,63.95
20-Nov-07,68.85
21-Nov-07,68.46
23-Nov-07,71.54
26-Nov-07,72.54
27-Nov-07,74.81
28-Nov-07,80.22
29-Nov-07,84.29
30-Nov-07,82.22
3-Dec-07,8.86
4-Dec-07,9.81
5-Dec-07,5.50
6-Dec-07,9.95
7-Dec-07,4.30
10-Dec-07,94.21
11-Dec-07,88.54
12-Dec-07,90.86
13-Dec-07,91.83
14-Dec-07,90.39
17-Dec-07,84.40
18-Dec-07,82.98
19-Dec-07,83.12
20-Dec-07,87.21
21-Dec-07,93.91
24-Dec-07,98.80
26-Dec-07,98.95
27-Dec-07,98.57
28-Dec-07,99.83
31-Dec-07,98.08
2-Jan-08,4.84
3-Jan-08,4.93
4-Jan-08,0.05
7-Jan-08,7.64
8-Jan-08,1.25
9-Jan-08,9.40
10-Jan-08,78.02
11-Jan-08,72.69
14-Jan-08,78.78
15-Jan-08,69.04
16-Jan-08,59.64
17-Jan-08,60.89
18-Jan-08,61.36
22-Jan-08,55.64
23-Jan-08,39.07
24-Jan-08,35.60
25-Jan-08,30.01
28-Jan-08,30.01
29-Jan-08,31.54
30-Jan-08,32.18
31-Jan-08,35.36
1-Feb-08,3.75
4-Feb-08,1.65
5-Feb-08,9.36
6-Feb-08,2.00
7-Feb-08,1.24
8-Feb-08,5.48
11-Feb-08,29.45
12-Feb-08,24.86
13-Feb-08,29.40
14-Feb-08,27.46
15-Feb-08,24.63
19-Feb-08,22.18
20-Feb-08,23.82
21-Feb-08,21.54
22-Feb-08,19.46
25-Feb-08,19.74
26-Feb-08,19.15
27-Feb-08,22.96
28-Feb-08,29.91
29-Feb-08,25.02
3-Mar-08,1.73
4-Mar-08,4.62
5-Mar-08,4.49
6-Mar-08,0.93
7-Mar-08,2.25
10-Mar-08,19.69
11-Mar-08,27.35
12-Mar-08,26.03
13-Mar-08,27.94
14-Mar-08,26.61
17-Mar-08,26.73
18-Mar-08,32.82
19-Mar-08,29.67
20-Mar-08,33.27
24-Mar-08,39.53
25-Mar-08,40.98
26-Mar-08,45.06
27-Mar-08,40.25
28-Mar-08,43.01
31-Mar-08,43.50
1-Apr-08,9.53
2-Apr-08,7.49
3-Apr-08,1.61
4-Apr-08,3.08
7-Apr-08,5.89
8-Apr-08,2.84
9-Apr-08,1.44
10-Apr-08,54.55
11-Apr-08,47.14
14-Apr-08,47.78
15-Apr-08,48.38
16-Apr-08,53.70
17-Apr-08,54.49
18-Apr-08,61.04
21-Apr-08,68.16
22-Apr-08,60.20
23-Apr-08,62.89
24-Apr-08,68.94
25-Apr-08,69.73
28-Apr-08,72.24
29-Apr-08,75.05
30-Apr-08,73.95
1-May-08,0.00
2-May-08,0.94
5-May-08,4.73
6-May-08,6.66
7-May-08,2.59
8-May-08,5.06
9-May-08,3.45
12-May-08,88.16
13-May-08,89.96
14-May-08,86.26
15-May-08,89.73
16-May-08,87.62
19-May-08,83.60
20-May-08,85.90
21-May-08,78.19
22-May-08,77.05
23-May-08,81.17
27-May-08,86.43
28-May-08,87.01
29-May-08,86.69
30-May-08,88.75
2-Jun-08,6.10
3-Jun-08,5.37
4-Jun-08,5.19
5-Jun-08,9.43
6-Jun-08,5.64
9-Jun-08,1.61
10-Jun-08,85.64
11-Jun-08,80.81
12-Jun-08,73.26
13-Jun-08,72.37
16-Jun-08,76.84
17-Jun-08,81.43
18-Jun-08,78.75
19-Jun-08,80.90
20-Jun-08,75.27
23-Jun-08,73.16
24-Jun-08,73.25
25-Jun-08,77.39
26-Jun-08,68.26
27-Jun-08,70.09
30-Jun-08,67.44
1-Jul-08,4.68
2-Jul-08,8.18
3-Jul-08,0.12
7-Jul-08,5.16
8-Jul-08,9.55
9-Jul-08,4.25
10-Jul-08,76.63
11-Jul-08,72.58
14-Jul-08,73.88
15-Jul-08,69.64
16-Jul-08,72.81
17-Jul-08,71.81
18-Jul-08,65.15
21-Jul-08,66.29
