date,close
23-Sep-00,14.6
24-Sep-00,13.4
25-Sep-00,10.7
26-Sep-00,11
27-Sep-00,12.4
28-Sep-00,13.3
29-Sep-00,12.2
30-Sep-00,14.8
01-Okt-00,12.3
02-Okt-00,11.8
03-Okt-00,12.8
04-Okt-00,13.3
05-Okt-00,11.6
06-Okt-00,11
07-Okt-00,12.1
08-Okt-00,10.4
09-Okt-00,7.5
10-Okt-00,9.7
11-Okt-00,12.3
12-Okt-00,12.9
13-Okt-00,11.8
14-Okt-00,10.6
15-Okt-00,11
16-Okt-00,11.1
17-Okt-00,11.1
18-Okt-00,10.1
19-Okt-00,9.1
20-Okt-00,9.7
21-Okt-00,10.2
22-Okt-00,8.1
23-Okt-00,9.8
24-Okt-00,9.4
25-Okt-00,8.6
26-Okt-00,7.9
27-Okt-00,8.3
28-Okt-00,8.8
29-Okt-00,8.4
30-Okt-00,9
31-Okt-00,7.8
01-Nov-00,7
02-Nov-00,6.2
03-Nov-00,9.3
04-Nov-00,7.3
05-Nov-00,6.6
06-Nov-00,5.5
07-Nov-00,8.5
08-Nov-00,9.2
09-Nov-00,6.5
10-Nov-00,5.9
11-Nov-00,7.5
12-Nov-00,7.6
13-Nov-00,6.7
14-Nov-00,6
15-Nov-00,6.6
16-Nov-00,7.6
17-Nov-00,7.4
18-Nov-00,6.2
19-Nov-00,1.7
20-Nov-00,6.3
21-Nov-00,7.9
22-Nov-00,7.6
23-Nov-00,6.7
24-Nov-00,6.6
25-Nov-00,7
26-Nov-00,9
27-Nov-00,6.9
28-Nov-00,6.9
29-Nov-00,9.2
30-Nov-00,8.9
01-Jan-01,3.6
02-Jan-01,5.5
03-Jan-01,7
04-Jan-01,6.1
05-Jan-01,7.4
06-Jan-01,4.9
07-Jan-01,3.3
08-Jan-01,3.1
09-Jan-01,0.7
10-Jan-01,-2.5
11-Jan-01,4
12-Jan-01,1.1
13-Jan-01,-0.7
14-Jan-01,2
15-Jan-01,1.2
16-Jan-01,-0.1
17-Jan-01,-1.6
18-Jan-01,-0.6
